"hostname";"ip";"mac";"cn";"dc";"controller"
"AI-056";"192.168.1.56";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-057";"192.168.1.57";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-058";"192.168.1.58";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-059";"192.168.1.59";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-060";"192.168.1.60";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-061";"192.168.1.61";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-062";"192.168.1.62";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-063";"192.168.1.63";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-064";"192.168.1.64";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-065";"192.168.1.65";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-066";"192.168.1.66";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-067";"192.168.1.67";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-068";"192.168.1.68";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-069";"192.168.1.69";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-070";"192.168.1.70";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-071";"192.168.1.71";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-072";"192.168.1.72";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-073";"192.168.1.73";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-074";"192.168.1.74";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-075";"192.168.1.75";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-076";"192.168.1.76";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-077";"192.168.1.77";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-078";"192.168.1.78";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-079";"192.168.1.79";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-080";"192.168.1.80";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-081";"192.168.1.81";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-082";"192.168.1.82";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-083";"192.168.1.83";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-084";"192.168.1.84";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-085";"192.168.1.85";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-086";"192.168.1.86";"B0:83:FE:6F:25:52";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-087";"192.168.1.87";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-088";"192.168.1.88";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-089";"192.168.1.89";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-090";"192.168.1.90";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-091";"192.168.1.91";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-092";"192.168.1.92";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-093";"192.168.1.93";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-094";"192.168.1.94";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-095";"192.168.1.95";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-096";"192.168.1.96";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-097";"192.168.1.97";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-098";"192.168.1.98";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-099";"192.168.1.99";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-100";"192.168.1.100";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-101";"192.168.1.101";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-102";"192.168.1.102";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-103";"192.168.1.103";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-104";"192.168.1.104";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-105";"192.168.1.105";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-106";"192.168.1.106";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-107";"192.168.1.107";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-108";"192.168.1.108";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-109";"192.168.1.109";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
"AI-110";"192.168.1.110";"";"CN=Domain Computers,CN=Users";"DC=topcall,DC=inc";"topcall.inc"
